Fullerides[Platinum Technite], 2668682, 3213082, 3714826, 3903180, 4280886, 4282599, 4282599, 4543882, 4596432, 4031352, 4211852, 4661957, 4619688, 5098442, 5098442, 4973492, 5079592, 3885256, 4742056, 4662864, 4590664, 4587665, 4533972, 3660623, 3191867, 3195723, 3604131, 3858639, 3904335, 3816251, 3836814, 3693871, 4006555, 3540957, 3675189, 3749016, 3716104, 2760020, 2970364, 3069794, 3039470, 3440350, 3449061, 3449061, 4311129, 4252724, 4543115, 4467717, 4282885, 4659877, 4292990, 4301986, 3891497, 3551919, 3702144, 3702144, 3556300, 3056122, 3166670, 3036819, 3368115, 3558896, 4061168, 3920546, 3920546, 3549086, 3410285, 3438416, 4180976, 3861666, 3861666, 2927897, 2708324, 2505548, 2799785, 2871613, 3173350, 3183203, 2808361, 2843918, 2715056, 2643354, 2614666, 2410662, 2317858, 2330562, 2412815, 2558471, 2880914, 2671918, 3297524, 3054471, 3275525, 3334397, 3334397, 3184182, 2419843, 2599328, 2652306, 2716566, 2716566, 2614614, 2614614, 1846120, 2161573, 2178423, 2173568, 2263064, 2269918, 2235361, 2235361, 2415366, 2959607, 2944185, 2979742, 2376988, 1760080, 2203083, 1996594, 1811382, 1921053, 1921053, 1599041, 1787985, 1865097, 2262652, 2590710, 2674676, 2672106, 2687386, 2703228, 2763273, 2827542, 3392297, 3401722, 3401722, 3528794, 3527937, 3294887, 3263186, 3251904, 2501312
Phenolic Composites[Vanadium Hafnite], 2767091, 2767091, 3296467, 3274719, 1657071, 2067303, 2567676, 3332714, 3229898, 3335792, 5574896, 5574896, 5558045, 5497102, 3283416, 3516894, 3185318, 3186461, 2743654, 2817767, 4044232, 3194446, 3194303, 2224272, 2241408, 1290677, 2441640, 3497317, 3752032, 3756601, 3778735, 3780449, 3997024, 4260348, 4251780, 4980060, 4652219, 4275200, 4276343, 3973178, 3871647, 3899918, 3293490, 2197357, 1867489, 2006992, 1000055, 1173335, 894775, 894775, 1317972, 1401829, 3975627, 4036175, 5101177, 5045593, 4798326, 3385486, 3098458, 1688022, 1683452, 3414474, 3362780, 3521288, 3274715, 3492628, 1824965, 2062072, 2000953, 4236377, 4092196, 4076367, 4318413, 4132562, 3983476, 3985190, 3518255, 3600223, 3282543, 3521318, 3755510, 3735617, 2010593, 2551805, 2902681, 3026631, 2475138, 2501556, 2742031, 2750742, 2678155, 2362482, 2460014, 3257123, 2774894, 4505748, 5030307, 5167328, 5772097, 5546759, 5183761, 5306569, 2538819, 2427281, 2289050, 2427566, 2329625, 4285388, 4501016, 4392552, 4672440, 4654162, 4525662, 3576520, 3829847, 3830990, 3693328, 3015742, 2588963, 3626080, 2710161, 3198109, 3315490, 3276220, 2569335, 2205804, 2307049, 2941880, 1837179, 2488347, 2514765, 2179927, 2228907, 2356504, 2335325, 2351605, 2341015, 1031631, 874837, 780018, 629221, 594949
Phenolic Composites[Caesarium Cadmide], 2713826, 2862338, 4191394, 4138231, 3971430, 4041513, 4541886, 4910083, 4910083, 3587977, 4835477, 5286725, 5261450, 5207932, 5105830, 5038999, 3746237, 3353822, 2937719, 2886168, 2658786, 2083747, 2034338, 1793016, 1932103, 387038, 1473884, 899356, 1153500, 1226899, 2801127, 2873669, 3054116, 3232473, 3232473, 3617890, 3289621, 2925169, 2870905, 2564171, 2274287, 1845168, 953140, 937290, 614847, 1209026, 104556, 277408, 341996, 341996, 585550, 670265, 637249, 1051369, 4050312, 3967311, 3720329, 3946975, 3896281, 4168172, 4161318, 2376889, 2182681, 2108425, 2115893, 2203858, 2191961, 2374090, 1571554, 2270450, 2009458, 4618007, 5312015, 4916962, 4696619, 4638928, 3791003, 3988067, 4241587, 3888457, 3429498, 3256951, 1524502, 1490230, 3051764, 3362069, 3108741, 3169860, 3484448, 1953918, 2172643, 1836978, 2597673, 2842147, 2587254, 2443288, 2394076, 3200544, 4584858, 4416639, 4081916, 4381225, 4370372, 3801017, 4183435, 4050345, 3413906, 3630941, 3630513, 3521906, 4409545, 4180494, 4053422, 3423296, 3587658, 3589372, 3268070, 1836928, 1183668, 2745147, 2757999, 2759284, 2842679, 2921219, 1644847, 1253042, 1628892, 2922459, 2514622, 2514622, 2522333, 2615895, 2643313, 2653814, 2632635, 2616499, 2089259, 1363213, 1333796, 1202991, 844563, 781160
Phenolic Composites[Caesarium Cadmide/Vanadium Hafnite], 2438387, 2438387, 3056045, 3039734, 2927593, 3235267, 3610547, 4288106, 4288106, 3900570, 4364955, 4703391, 4684435, 4638727, 4461477, 4362838, 4105588, 4094878, 3750777, 3674950, 3588059, 2226616, 2190309, 1893328, 2010495, 1336003, 2151138, 2340993, 2532030, 2588364, 2604965, 2659371, 2821910, 3173948, 3167522, 3194190, 2948309, 2606640, 2566799, 2339426, 2289196, 2135718, 1596288, 1558482, 1339570, 1589853, 852000, 981961, 991952, 991952, 1309350, 1372244, 1633867, 1664283, 1938995, 1897736, 1712285, 1981552, 1809014, 1903154, 1898014, 1825400, 1640974, 1704163, 1738145, 1905863, 1896941, 2090193, 2050780, 2574952, 2466816, 2639050, 2785455, 2489701, 2370069, 2371354, 1935794, 2145068, 2335208, 2582834, 2428395, 2299949, 2173571, 2054690, 2127209, 2493812, 2393138, 2466930, 2733074, 2746247, 2980977, 2757182, 2518027, 2690886, 2543414, 2444328, 2731504, 3462947, 4501932, 4333999, 4061751, 4127296, 4160069, 3704992, 3891989, 3805238, 3351684, 3456836, 3618450, 3536567, 3536567, 3364779, 3268404, 2526560, 2643834, 2645119, 2404143, 2425670, 2073670, 2860718, 2871856, 2878282, 3028865, 3105441, 1968877, 1696229, 1775590, 2412256, 2106378, 2106378, 2128120, 2147954, 2169695, 2265393, 2249509, 2229696, 1834266, 1293051, 1153821, 1055718, 678083, 606540
Fullerides[Carbon Polymers/Platinum Technite], 2182425, 2592010, 2968318, 3075954, 3353557, 3370050, 3373563, 3707342, 3769460, 3324444, 3462110, 3784353, 3758477, 4110152, 4110602, 4034433, 3961069, 3072064, 3714772, 3656684, 3602534, 3656405, 3656405, 2941696, 2589765, 2575949, 2778261, 2966464, 2981887, 2916252, 2931675, 2934566, 3169079, 2926445, 3026669, 3080369, 3059947, 2345241, 2501499, 2444124, 2408529, 2671083, 2690233, 2690661, 3337748, 3296407, 3521805, 3522019, 3386587, 3639343, 3353039, 3353896, 3012293, 2751825, 2783848, 2789717, 2677121, 2288729, 2441148, 2248119, 2533840, 2580536, 2955740, 2849995, 2844983, 2562704, 2460959, 2492768, 3074086, 3006755, 3010932, 2343292, 2091262, 1924186, 1973503, 2028232, 2258711, 2272312, 2161791, 2207994, 2170467, 2171312, 2154722, 1731078, 1663659, 1665262, 1751992, 1841313, 2102744, 1946961, 2420450, 2243729, 2457586, 2458044, 2456994, 2335915, 1776048, 1911090, 1946861, 1996727, 1986874, 1909981, 1909981, 1322900, 1583309, 1596182, 1593398, 1659577, 1655293, 1624341, 1614060, 1748502, 2155612, 2168132, 2196407, 1744299, 1281618, 1645136, 1491555, 1486082, 1577297, 1579225, 1337568, 1363570, 1435755, 1733890, 1980682, 2047684, 2044578, 2056038, 2067920, 2113810, 2228828, 2585071, 2592638, 2597993, 2693297, 2693929, 2687503, 2661157, 2615211, 2052267
Sylramic Fibers[Hexite], 2466207, 2477917, 2523613, 2440932, 2411943, 501125, 711477, 1114505, 1243880, 1584886, 2531788, 2531788, 2504085, 2082968, 1515078, 1765788, 1953856, 1797062, 1797347, 1973752, 1636602, 1560514, 1560514, 1183685, 1080583, 1653407, 1659185, 1405260, 1473804, 1683434, 1918768, 1968606, 2043286, 2342309, 2332313, 2437088, 2441801, 3555934, 3666604, 3773460, 3958292, 6189316, 6116631, 5729929, 5784478, 3654302, 3562964, 3649215, 3736038, 3730611, 3698917, 3827866, 2807992, 2817416, 2662336, 2826014, 2641182, 2494657, 2666160, 2172500, 2043166, 1961731, 1968014, 1962730, 1869901, 1202127, 922105, 1081088, 1829931, 2040602, 1895232, 1393861, 1117822, 976799, 1440118, 1517373, 2124112, 2133108, 2202782, 2177041, 3574760, 3574760, 3570762, 3267169, 2727336, 2412384, 2370115, 2358691, 2326704, 2275803, 2152662, 2158374, 1573668, 1487942, 1487942, 1692717, 1862872, 1933184, 1905338, 1835366, 1798548, 1890393, 1924094, 1784753, 1683365, 2349831, 2349831, 2917834, 3083768, 3111186, 3155168, 3102618, 2748099, 2741245, 2677699, 2053126, 2302741, 2365238, 2137598, 2202858, 2533840, 2928861, 2899158, 2929289, 3208892, 3433412, 3435983, 3705018, 3918666, 3199954, 3220517, 3278779, 3291631, 3164090, 3167232, 3192936, 3178336, 3168340, 2571623, 2664729, 2658303, 2123621
Phenolic Composites[Silicon Diborite/Vanadium Hafnite], 2032478, 2032478, 2429510, 2516444, 1445972, 1791774, 1896305, 2496323, 2419211, 2477425, 4180529, 4210731, 4195202, 4155920, 2499833, 2683510, 2450678, 2457104, 2121572, 2178549, 3098826, 2525425, 2526175, 1798652, 1811504, 1116662, 1979349, 2820801, 2991060, 2995558, 2996736, 2998664, 3161203, 3323245, 3326030, 3824794, 3578914, 3296150, 3270446, 3270981, 3186051, 3003871, 2569185, 1747406, 1613746, 1718373, 1225136, 1146038, 886566, 851223, 1144630, 1201526, 3012458, 3057869, 3858227, 3780340, 3594246, 2537829, 2402348, 1043570, 1041856, 2387032, 2384033, 2502914, 2434937, 2480562, 1171660, 1311790, 1289514, 2951730, 3073002, 3066379, 3120250, 2965868, 2843022, 2843879, 2395467, 2520132, 2320642, 2539994, 2712853, 2679083, 1380389, 1783513, 2037459, 2138883, 1743684, 1747218, 1980161, 1986908, 2048136, 1693679, 1794888, 2393362, 2182915, 3504404, 3708684, 3825374, 4278950, 4144368, 4113309, 3954373, 1878561, 1784411, 1696439, 1709505, 1635085, 3101693, 3250883, 3164502, 3352141, 3352141, 3255766, 2742259, 2735726, 2729942, 2626696, 2140570, 1823270, 2604963, 1937944, 2304226, 2395476, 2423857, 1861777, 1589129, 1666348, 2134653, 1654416, 2142792, 2164534, 1867995, 1849466, 1940880, 1934292, 1951750, 1943808, 1120278, 1002468, 900637, 742129, 715568
Phenolic Composites[Caesarium Cadmide/Silicon Diborite], 1992530, 2103914, 3100706, 3164077, 3181741, 3272431, 3376962, 3679349, 3679349, 2666564, 3625965, 3994604, 3972755, 3939043, 3866643, 3825088, 2871367, 2582626, 2267121, 2229850, 2059742, 1692401, 1656202, 1475210, 1579525, 438934, 1253532, 872331, 1042161, 1098282, 2263530, 2318579, 2454022, 2552339, 2561550, 2803168, 2556966, 2283627, 2216368, 2214226, 1988031, 1462809, 813923, 802356, 674264, 1119898, 553512, 474092, 471982, 436639, 595315, 652853, 508674, 819264, 3070078, 2971627, 2785748, 2958946, 3000715, 2903683, 2900255, 1608844, 1498959, 1443267, 1565821, 1513985, 1446907, 1545804, 967464, 1477285, 1510949, 3472609, 3865452, 3554168, 3377880, 3334183, 2600028, 2811015, 3039926, 2815348, 2468344, 2320084, 1015820, 987332, 2149272, 2390461, 2218887, 2248446, 2536974, 1389290, 1669002, 1299551, 1898132, 2082130, 2042186, 1957559, 1731511, 2350285, 3388521, 3296779, 3286926, 3260365, 3252225, 2814713, 3117227, 2926589, 2448296, 2610858, 2598006, 2511517, 3154970, 2996890, 2901586, 2627341, 2554084, 2548729, 2307753, 1256459, 769299, 1944263, 1973823, 1975108, 2040867, 2157606, 1168412, 874558, 1157730, 2120087, 2162499, 2162499, 2170210, 2194971, 2160271, 2163862, 2157274, 2150420, 1754990, 1368964, 1346687, 1217867, 903636, 855227
Phenolic Composites[Caesarium Cadmide/Silicon Diborite/Vanadium Hafnite], 1916438, 1916438, 2410564, 2480111, 2504609, 2781251, 2864876, 3427914, 3427914, 3100921, 3491450, 3786361, 3768882, 3737457, 3598998, 3526941, 3333822, 3329709, 3051687, 2992139, 2922969, 1884966, 1856606, 1619021, 1712755, 1187726, 1839405, 2031045, 2167253, 2213177, 2214120, 2258159, 2388276, 2641546, 2643774, 2627152, 2430447, 2157112, 2103990, 2104419, 2057209, 1771721, 1356285, 1326297, 1242159, 1442386, 1061677, 998398, 965950, 937676, 1172402, 1217918, 1331684, 1356017, 1577071, 1515104, 1366230, 1584213, 1510014, 1344566, 1341824, 1321261, 1202337, 1252889, 1373637, 1413564, 1359902, 1484344, 1471663, 1879520, 1976538, 2118523, 2133517, 1884918, 1780387, 1781072, 1354056, 1572026, 1755154, 1985471, 1859692, 1741856, 1636812, 1539480, 1590126, 1890178, 1824375, 1870386, 2125369, 2136079, 2416398, 2143199, 1974323, 2113125, 2116127, 2055537, 2133966, 2730259, 3561448, 3454639, 3429792, 3281394, 3307612, 2935154, 3097312, 2955254, 2591640, 2675591, 2794857, 2725324, 2707502, 2581039, 2503939, 2069143, 2005740, 2001456, 1808674, 1843546, 1564174, 2196897, 2221744, 2227142, 2350178, 2457707, 1522922, 1304804, 1369321, 1872399, 1906328, 1906328, 1925264, 1904803, 1877985, 1951116, 1945846, 1934193, 1617850, 1311684, 1200129, 1097073, 758637, 700718
Titanium Carbide[Titanium Chromide], 1750138, 1774205, 1779018, 1472284, 1618709, 1764080, 2126792, 2299151, 2047738, 1952062, 2202058, 2202343, 2185350, 2187635, 1950752, 2124397, 2124397, 1874103, 1629355, 2130697, 1944772, 2212831, 2179416, 2387547, 2387547, 2321287, 2287158, 1357140, 1378560, 1307345, 1550676, 1385199, 1417614, 1526898, 1556029, 1673135, 1862569, 2194109, 2290375, 1983641, 2345170, 2219363, 2223933, 1524263, 1376037, 1525058, 1277165, 1555911, 1703851, 1595609, 1183056, 1334710, 1889885, 1889885, 1727522, 1532357, 1735903, 1859454, 1758780, 2031243, 2059231, 2152344, 2443185, 2443185, 2296673, 2453753, 2369358, 2382370, 2474486, 2403942, 2108061, 1675530, 1972554, 2679437, 3256139, 3257852, 3333393, 3333393, 3262363, 2769480, 2417612, 1998852, 1998852, 1791506, 1377320, 1991110, 1947984, 2122978, 2123406, 2139720, 2006059, 2088455, 1954317, 1904908, 1409661, 1446218, 1555791, 1574739, 1507318, 1459909, 889096, 1223819, 1288936, 956816, 1079053, 1846983, 1843128, 3289024, 3452815, 3450102, 3450102, 3431824, 3152601, 2747216, 2799388, 2604323, 2381501, 2245383, 1406664, 1383649, 1844936, 1947301, 1947301, 2024056, 2045476, 2063183, 2068324, 1839734, 1261633, 1261633, 1288194, 1002181, 1070725, 1115732, 1500799, 1526074, 2348994, 2137650, 2102521, 2097381, 2001705, 1803068
