Phenolic Composites[Caesarium Cadmide, Silicon Diborite], 1611876, 1646946, 1670046, 1788484, 1737664, 1671590, 1771974, 1204974, 1715076, 1750416, 3673768, 4058908, 3751236, 3576380, 3533540, 2802880, 3009730, 3229480, 3012420, 2672220, 2526556, 1247866, 1219936, 2364232, 2600692, 2432482, 2461462, 2744332, 1619152, 1893068, 1523230, 2099018, 2279408, 2235264, 2150116, 1927878, 2534052, 3562052, 3472109, 3462449, 3436409, 3428429, 2998405, 3294988, 3108088, 2637304, 2792474, 2779874, 2693524, 3324360, 3169380, 3074076, 2800536, 2728716, 2723466, 2485190, 1454510, 972230, 2138950, 2167930, 2169190, 2233660, 2348110, 1354018, 1060164, 1337784, 1875202, 1867852
Titanium Carbide[Titanium Chromide], 2073900, 2552327, 2552327, 2408687, 2562687, 2479947, 2492987, 2584240, 2515080, 2225000, 1796420, 2087620, 2796687, 3368027, 3369707, 3443767, 3443767, 3373940, 2881567, 2530180, 2111420, 2111420, 1908140, 1497073, 2111947, 2069667, 2244627, 2245047, 2261607, 2130567, 2211347, 2075120, 2026680, 1535387, 1571227, 1669213, 1686280, 1618293, 1571813, 1006813, 1334973, 1398813, 1066693, 1186533, 1947240, 1943460, 3387620, 3548200, 3545540, 3545540, 3527620, 3249153, 2851340, 2901733, 2710493, 2489587, 2353307, 1516027, 1493840, 1953067, 2055407, 2055407, 2133393, 2154393, 2171753, 2176793, 1853213, 1238533
Nanotransistors[Neo Mercurite, Platinum Technite, Sulfuric Acid], 1109842, 1481794, 2491978, 2433065, 2429856, 2394912, 2372047, 2376605, 1605629, 1713713, 1248991, 1256453, 964577, 915209, 954823, 1566578, 1667546, 1738730, 1783889, 1356329, 1488005, 2387081, 1824818, 1363154, 1411754, 666528, 1239768, 1909308, 1890408, 1891488, 1938972, 2262382, 2337192, 2337192, 2529588, 2695807, 2740951, 2405047, 2894717, 2879597, 3146321, 3404359, 4276762, 4925645, 4943873, 4946351, 4910015, 4855247, 4182971, 4161225, 4175182, 3904030, 3263311, 3330931, 2972779, 2786467, 1736842, 1615882, 358066, 932986, 862258, 861250, 1636063, 1681423, 1734839, 1602479, 830507, 830339
Phenolic Composites[Caesarium Cadmide, Silicon Diborite, Vanadium Hafnite], 1291265, 1319321, 1432385, 1549395, 1588539, 1535680, 1660423, 1647991, 2056073, 2153057, 2292382, 2307082, 2061365, 1957264, 1957936, 1530572, 1744268, 1920068, 2148360, 2025048, 1909273, 1806289, 1710865, 1764630, 2058798, 1994286, 2039394, 2289378, 2299878, 2574450, 2300504, 2126094, 2262174, 2261131, 2199985, 2276378, 2860606, 3683594, 3578879, 3554519, 3409031, 3434735, 3068708, 3227686, 3088414, 2730435, 2809376, 2926304, 2856888, 2839416, 2715432, 2638349, 2208341, 2146181, 2141981, 1951360, 1985548, 1707916, 2340068, 2364428, 2369720, 2490344, 2595764, 1659874, 1441423, 1504675, 1998786, 1992906
Fernite Carbide, 1986300, 1986300, 3320220, 3313080, 3315600, 2881100, 2889920, 420320, 290360, 1400840, 1455560, 1539780, 1624200, 1624200, 1624200, 2129000, 2131520, 2131520, 1759860, 2213780, 2217560, 2556900, 2556900, 2209980, 2385580, 2141600, 2132780, 1717860, 1725000, 430560, 431820, 847760, 883220, 254900, 1233920, 1284460, 2853580, 3386260, 3386260, 3386260, 3385420, 3357700, 1950860, 1950860, 1583100, 1339500, 1410060, 1403340, 1259520, 1326720, 1503120, 3145340, 4675980, 4534860, 3473100, 3941820, 2231940, 2230260, 2153820, 1721220, 1101060, 891320, 936260, 2612900, 2845960, 3417100, 5330600, 5330600
Fullerides[Carbon Polymers, Platinum Technite], 2566626, 2961426, 2961426, 2956512, 2676498, 2576748, 2607933, 3177852, 3110313, 3114408, 2459859, 2208672, 2044872, 2094072, 2147727, 2373687, 2387022, 2274888, 2320185, 2281992, 2282799, 2266365, 1855083, 1789008, 1792278, 1877307, 1964877, 2221182, 2065884, 2530089, 2353032, 2562696, 2561679, 2560650, 2438547, 1872882, 2005446, 2040516, 2089404, 2079744, 2002851, 2002851, 1415985, 1677552, 1690173, 1687443, 1753599, 1749399, 1719054, 1708974, 1845431, 2259572, 2271846, 2299566, 1849506, 1386405, 1748721, 1598151, 1592786, 1682212, 1684102, 1442448, 1466071, 1536841, 1829130, 2075883, 2076261, 2069121
Crystalline Carbonide[Crystallite Alloy], 1356233, 1583873, 1775233, 2001753, 1990413, 1699213, 1699213, 1684387, 1347813, 1476193, 1510920, 1295067, 1213867, 1541187, 1541187, 2171413, 2404653, 2246873, 2281073, 2532580, 2343300, 2237180, 2581440, 2200373, 1769560, 1248333, 1367333, 1605753, 1417000, 1433800, 1451720, 1724667, 2101827, 2101827, 1798200, 1776360, 1580107, 1713780, 1915940, 1858820, 1824660, 1878420, 1849300, 2035647, 1774433, 1770513, 1911633, 1913313, 1714493, 1773013, 2316807, 2312607, 2299167, 2488587, 2310493, 2136053, 1981240, 1927933, 1778693, 2241000, 2464880, 2560640, 2923360, 2970120, 2970120, 2973060, 2616047, 2574887
Sylramic Fibers[Ceramic Powder, Hexite], 1671321, 1711431, 1711431, 1643010, 1146132, 686820, 770880, 1344600, 1489470, 1481070, 927090, 819105, 660162, 1018584, 1076229, 1455093, 1524288, 1614081, 1789485, 2689218, 2671683, 2663913, 2437953, 2202939, 1812375, 1799145, 1772160, 1820460, 1788933, 1688280, 1692795, 1361265, 1267965, 1267965, 1350810, 1488342, 1552248, 1538388, 1519635, 1481799, 1551111, 1575891, 1567347, 1509240, 2003760, 2003760, 2392500, 2500650, 2469780, 2446680, 2408040, 2147334, 2144184, 2165289, 1977636, 1926816, 1998030, 1829232, 1882887, 2271135, 2569320, 2572470, 2584860, 2567640, 2729298, 2733183, 2780853, 2773503
Fernite Carbide[Fernite Alloy], 1385380, 1385380, 1543020, 1458880, 1463920, 1277293, 1627433, 1557713, 1471073, 1342553, 1089933, 1330180, 1387160, 1704120, 1704120, 1655793, 1737833, 1578513, 1332280, 1462973, 1426153, 1720140, 1966260, 1740300, 1857367, 1571233, 1562413, 1291680, 1315620, 1408020, 1420480, 1267133, 1413693, 1495173, 1621313, 1770647, 1936407, 2292507, 2292507, 2292507, 2275707, 2264787, 1269213, 1265853, 1326720, 1355840, 1402880, 1526640, 1553960, 1598760, 1598760, 2581293, 3248080, 3129080, 2610800, 2850480, 1682140, 1619140, 1616340, 1556140, 1207800, 1185293, 1442193, 1825793, 2008887, 2485547, 2745373, 2623573
Titanium Carbide[Silicon Diborite, Titanium Chromide], 1385010, 1778900, 1778900, 1785830, 1785830, 1666760, 1639580, 1731120, 1665180, 1672530, 1356240, 1449480, 1966580, 2384270, 2385110, 2344370, 2406320, 2391960, 2062160, 1795890, 1463340, 1458510, 1303320, 985990, 1455440, 1441790, 1557050, 1608920, 1621550, 1636670, 1581860, 1507200, 1471500, 1251290, 1301060, 1189120, 1215570, 1164580, 1163467, 976177, 976177, 1024057, 764677, 869950, 1351440, 1347660, 2430570, 2538720, 2531790, 2509950, 2509950, 2301100, 2197200, 2042320, 1892380, 1726700, 1646120, 1020890, 1008030, 1371980, 1449050, 1452200, 1567390, 1551850, 1564870, 1569910, 1314520, 1188040
