Fullerides[Carbon Polymers/Platinum Technite], 2694845, 2847766, 2984544, 3456694, 3743533, 3686075, 3818962, 3597032, 3389452, 3089636, 2848954, 3038758, 3069609, 3085203, 3118512, 3048855, 2741221, 2554828, 2488054, 2508966, 2508141, 2571517, 2566004, 2619795, 2546738, 2586539, 2550602, 2450291, 2248791, 2042402, 2009474, 1976050, 1993577, 1978114, 2148034, 2280362, 2389544, 2543451, 2623001, 3021873, 3062905, 2857525, 2822443, 2799346, 2770746, 2970607, 2826763, 2733711, 2571578, 2314773, 1686757, 1645098, 1808433, 2167732, 2183745, 2322684, 2301776, 2303944, 2141403, 2085985, 2081625, 2243232, 2185395, 2148914, 1830782, 1698728, 1674949, 1797519, 1859701, 1998722, 2020961, 2016998, 1990617, 1807799, 1620201, 1427575, 937072, 944656, 1299410, 1453603, 1389678, 1416091, 1398430, 1546589, 1581386, 1871722, 1592284, 1346172, 1042666, 1007230, 1308961, 1447175, 1578347, 1327389, 1161902, 1026928, 1023070, 967655, 1083097, 1172709, 1596845, 1528128, 1483757, 1482305, 1310971, 1317145, 1497782, 1467441, 1150313, 1079742, 855652, 841785, 756688, 638383, 839585, 862623, 944108, 1223967, 1345156, 1376157, 1469692, 1461999, 1635016, 1707028, 1689032, 1957926, 2019622, 2197766, 2229321, 2336749, 2243018, 2177069, 2023205, 1987030, 1689636, 1501193, 1315967, 1268739, 1093734, 950397, 835791, 772162
Sylramic Fibers[Ceramic Powder/Hexite], 1032756, 1118128, 1152783, 1381991, 1469010, 1529266, 2107141, 1962442, 1839343, 1509610, 1439699, 1415926, 1416963, 1254449, 1255260, 1107584, 800822, 794037, 858690, 856293, 871658, 1013147, 1159914, 1175872, 1141734, 1266440, 1408019, 1435196, 1710023, 1786086, 2141583, 2248885, 2539841, 2871227, 3657789, 4073660, 3589012, 3613287, 3355193, 3375815, 3283664, 3027271, 2829067, 2557443, 2416075, 2477498, 2368066, 2317885, 2206552, 1857859, 1481303, 1448425, 1456131, 1553499, 1371435, 1226893, 1086025, 894630, 586304, 464981, 411174, 560721, 650500, 702196, 453403, 478663, 480850, 598768, 718291, 1067920, 1221210, 1413861, 1588941, 2116707, 2183875, 2255167, 1943828, 1853086, 1662277, 1593462, 1502822, 1387892, 1268974, 1193526, 1111121, 865345, 856457, 837599, 835112, 966678, 1127961, 1198995, 1201674, 1165628, 1330689, 1419347, 1407219, 1494241, 1636905, 1583403, 1973476, 1871293, 1826723, 1743182, 1603014, 1534913, 1573601, 1648618, 1552740, 1572477, 1670349, 1647126, 1682987, 1773636, 1944082, 2092851, 2167356, 2520837, 2694745, 2705002, 2611600, 2533950, 2425446, 2288616, 2187291, 2212315, 2209112, 2199412, 2304585, 2309529, 2271074, 2057573, 1886188, 1668645, 1404119, 1181933, 1001906, 617990, 598364, 408879, 329602, 249690
Phenolic Composites[Caesarium Cadmide/Silicon Diborite/Vanadium Hafnite], 3026226, 2902125, 2920634, 3052537, 3158386, 3008672, 3274839, 3187572, 3254324, 3116234, 3001133, 2887699, 2624793, 2278530, 1849583, 1482309, 1017268, 839829, 657262, 866947, 981893, 1389528, 1715941, 1970224, 2159931, 2400838, 2358458, 2430517, 2471882, 2306418, 2234335, 2134048, 2065205, 1957734, 1706375, 1563930, 1391659, 1279779, 1035782, 565444, 597794, 627368, 611261, 725671, 750342, 981989, 1132677, 1328321, 1260345, 1064503, 916771, 990572, 1230400, 1192982, 1177918, 1182283, 1163668, 1155228, 1220648, 1258533, 1248633, 1309021, 1474121, 1523625, 1901408, 1994255, 1778600, 1489410, 1245990, 1053341, 952504, 1074480, 1388792, 1392473, 1296008, 1322643, 1383492, 1318590, 1629594, 1628683, 1572072, 1606274, 1615505, 1543771, 1677837, 1678701, 1694603, 1747654, 1738487, 1517160, 1699790, 2112626, 2484025, 2752080, 2795072, 2867803, 2718724, 2649686, 2557271, 2415631, 2377056, 2348064, 2419645, 2417137, 2109192, 2004701, 1683136, 1855777, 1762687, 1603780, 1357557, 1144949, 1122843, 1122300, 993944, 1152360, 1395610, 1419710, 1365132, 1465253, 1492379, 1387149, 1465497, 1620509, 1677542, 1626157, 1658960, 1612178, 1251253, 976181, 837741, 619793, 477107, 577576, 394183, 247966, 184365, 200335, 301368, 395323, 494751, 529918
Titanium Carbide[Silicon Diborite/Titanium Chromide], 1428223, 1503826, 1481080, 1628654, 1521791, 1423306, 1441527, 1275473, 1276120, 1158758, 1079680, 1147759, 1164738, 1210186, 1405622, 1751239, 1666448, 1757737, 1647578, 1337461, 1165609, 1158480, 1109518, 1132850, 1105499, 1175319, 1244801, 1304718, 1424211, 1488996, 1668363, 1681288, 1705703, 1719122, 1516639, 1379519, 1268196, 1241067, 1144835, 1211276, 1256919, 1347037, 1317829, 1306035, 1278621, 1407353, 1487502, 1558455, 1488758, 1419045, 1249078, 1251984, 1279993, 1302082, 1365133, 1419218, 1333583, 1361182, 1242941, 1077233, 1031527, 1190117, 1235373, 1396702, 1315027, 1255342, 1299183, 1507873, 1722208, 1999599, 2031755, 1887893, 1587567, 1185320, 994565, 912573, 851878, 793884, 977279, 1010496, 1127379, 1095784, 1164229, 1257305, 1318988, 1333426, 1178376, 1054351, 982991, 856265, 945058, 942139, 875834, 737750, 782617, 742998, 801435, 886644, 1047421, 1055123, 1675361, 1837115, 1917851, 2175885, 2198751, 2154407, 1949033, 1757942, 1516231, 1165844, 886019, 815514, 841134, 997675, 1075529, 1189562, 1212671, 1300529, 1270543, 1191989, 1077335, 1039956, 961383, 935820, 856339, 912568, 913654, 977461, 1102516, 1311299, 1445928, 1530960, 1485193, 1447456, 1188284, 1058310, 861681, 713748, 881007, 852311, 778798, 787954
Crystalline Carbonide[Carbon Polymers/Crystallite Alloy], 1189182, 1258893, 1146475, 1083608, 1029934, 919230, 723687, 763818, 790497, 1128726, 1138661, 1128188, 979049, 931524, 876482, 860970, 970711, 1051753, 1087775, 1123491, 1105729, 1202723, 1174550, 1252631, 1271332, 1346028, 1276049, 1292095, 1355755, 1409775, 1496727, 1604513, 1644370, 1664207, 1592925, 1563210, 1506258, 1577277, 1564956, 1613456, 1654834, 1759121, 1720774, 1771277, 1761677, 1493543, 1427141, 1101705, 1067777, 992829, 843783, 851927, 878199, 825243, 873779, 902988, 933922, 942518, 1152840, 1105146, 1078904, 1077194, 1014264, 1024479, 1105801, 919605, 835638, 999110, 1000996, 1289803, 1383959, 1606553, 1764813, 1744342, 1677252, 1607317, 1524607, 1321040, 876818, 807897, 831246, 829875, 820594, 812315, 896665, 1042120, 1145049, 1163969, 1116841, 998447, 878734, 892362, 951489, 954649, 1085410, 1133998, 1121156, 1117229, 1101896, 1120489, 1192791, 1104829, 1067949, 1046254, 1103518, 1201661, 1447221, 1499869, 1394435, 1315655, 1261254, 1242280, 1243009, 1370137, 1623132, 1717898, 1871320, 1938998, 1974905, 1871223, 1857368, 1858691, 1779916, 1764947, 1689256, 1690057, 1539370, 1372898, 1323704, 1189737, 1120145, 1089657, 1021729, 842964, 720832, 630348, 551584, 654997, 702517, 795867, 791607, 808775
Fernite Carbide[Ceramic Powder/Fernite Alloy], 1522863, 1395311, 1237739, 1284078, 1139953, 890068, 631610, 472307, 443081, 595122, 480467, 448672, 378243, 290639, 249697, 257749, 173197, 172462, 231061, 141703, 177830, 331369, 343629, 363356, 509542, 597592, 670291, 759641, 843500, 757361, 718290, 720829, 710984, 720642, 747949, 838007, 825099, 882168, 978776, 1168438, 1255085, 1306501, 1274464, 1276662, 1295548, 1479347, 1637450, 2290861, 2435000, 2443774, 2309438, 2128042, 1709765, 1538878, 1234258, 982154, 914604, 715612, 679622, 583764, 639082, 561132, 549292, 512119, 369433, 624759, 632757, 692736, 737554, 794082, 776089, 775628, 788217, 828700, 843110, 926949, 1001499, 1043054, 965964, 864276, 745282, 762514, 755926, 754548, 782412, 793548, 868372, 968827, 985993, 1092118, 1168277, 1300158, 1312404, 1222208, 1164026, 1110571, 894620, 883846, 911953, 900574, 939729, 938251, 952551, 918117, 911633, 1224771, 1510105, 1866005, 1531401, 1360920, 976645, 920169, 866923, 748441, 882010, 909141, 964185, 1145343, 1271395, 1445921, 1659238, 1710666, 1812811, 1771227, 1707738, 1697798, 1709454, 1689074, 1686116, 1567383, 1530775, 1283285, 1071063, 928123, 806485, 669598, 587117, 575979, 524707, 592786, 597232, 588515
Tungsten Carbide[Rolled Tungsten Alloy/Sulfuric Acid], 783664, 861493, 856205, 943494, 898828, 836735, 850078, 728243, 700190, 562077, 474993, 497571, 441979, 407009, 420524, 445078, 386018, 384510, 371880, 310694, 318987, 319152, 392790, 511497, 548807, 697097, 812241, 783023, 821608, 838141, 1020117, 1059180, 1108144, 1110906, 1042661, 1093030, 1114323, 1211012, 1455629, 1519564, 1418854, 1228589, 1156936, 1140123, 1110169, 1334047, 1404450, 1522192, 1552056, 1485442, 1459165, 1431575, 1514016, 1631425, 1556966, 1484064, 1340522, 1267944, 981272, 782970, 699935, 734406, 582165, 564787, 381432, 722432, 768991, 920667, 976815, 960689, 982748, 987008, 985946, 861891, 815568, 788272, 482439, 434204, 469019, 570158, 584839, 563361, 582767, 648014, 669149, 715842, 771535, 799180, 856093, 1009647, 1230342, 1302208, 1391326, 1308450, 1288794, 1292553, 1207710, 1078200, 1038701, 897199, 731926, 743675, 688426, 717497, 580579, 468394, 621948, 666524, 579160, 592864, 579434, 593516, 633188, 685942, 776516, 873205, 982329, 1106977, 1182057, 1193467, 1320709, 1318378, 1310053, 1260839, 1204033, 1190140, 1226764, 1286220, 1347565, 1373777, 1331447, 1263320, 1113406, 973524, 857832, 810689, 773866, 818090, 961705, 967889, 988781, 960538
Photonic Metamaterials[Crystallite Alloy/Thulium Hafnite], 3193262, 3214718, 3104035, 3311363, 3134629, 3350999, 3836642, 3806387, 3718320, 3457143, 2970693, 3009741, 2994913, 2956591, 3435127, 3522221, 3656954, 3864134, 3691587, 3766440, 3927144, 3933821, 4002938, 4145713, 4064296, 4043233, 4093835, 3741506, 3460038, 3246063, 3241699, 3111114, 3152068, 3153466, 2474013, 1933370, 1485160, 819453, 645619, 28768, -174751, -385245, -64267, 137959, 698066, 889497, 954654, 1028125, 1195845, 1423165, 2256413, 2605221, 3183561, 3360361, 3557292, 3711598, 3691499, 3740312, 3949139, 3966702, 3788285, 3893364, 3396430, 3232267, 2675126, 1240383, 940874, 810827, 772237, 701672, 628412, 670030, 1154361, 850171, 787066, 412860, 413810, 118670, -150632, -553160, -373824, -357981, -384035, -410336, -81216, 91951, 462954, 510419, 393380, -8789, 220634, 605221, 1174804, 1189265, 1249325, 1431835, 1380349, 1691829, 2076901, 2415555, 3273433, 3293908, 3293493, 3338184, 3458520, 3465335, 3330544, 3020252, 2702689, 2507287, 2065873, 1931005, 1690260, 1725987, 1777072, 1735278, 1442998, 1704173, 1776345, 2086656, 2343667, 2385556, 2419143, 2378929, 2491272, 2706883, 3054054, 3417158, 3262191, 3176196, 3441136, 3225994, 2938895, 2765548, 2398763, 2040528, 1576014, 1407031, 1378957, 1413044, 1428614, 1511863
Nanotransistors[Neo Mercurite/Platinum Technite/Sulfuric Acid], 3486449, 3544699, 3503220, 3811631, 3875107, 4045025, 4299849, 4153057, 3502227, 2869603, 2424628, 2366720, 2125980, 1838248, 1600803, 778626, 221111, -220144, -622374, -344345, -295448, -35079, 531210, 1128299, 1090990, 1214608, 1365247, 1349718, 1361207, 1442059, 1878166, 2421046, 2516329, 2159076, 2157123, 2204789, 2634594, 2707096, 2767036, 2912551, 2882295, 2715468, 2397590, 1918048, 1318884, 1080467, 1166027, 875671, 803025, 428141, -7083, -63008, -21937, -885358, -670639, -292141, -16963, -1144908, -279671, 30201, -314, -95643, 1048701, 925299, 789081, 686454, 666816, 569506, 707310, 848202, 1242418, 1378037, 1259767, 1095295, 848597, 961047, 403166, 476341, 352036, 312805, 449268, 641779, 811847, 1164803, 1390171, 1821776, 2002037, 1912510, 2024030, 1956791, 2192010, 2290427, 2528840, 2609212, 2766527, 3110403, 3517608, 3598796, 3797368, 4117481, 4186306, 4244772, 4063465, 3987459, 3638856, 3496367, 2506735, 1479324, 1176259, 1019623, 677735, 246856, 138629, 110446, 295171, 400288, 879111, 1089835, 1259626, 1118112, 1083912, 846026, 840163, 873505, 1180069, 1397754, 1968848, 2024413, 2390676, 2544688, 2525211, 2689612, 2801991, 3021745, 2907441, 2836089, 2978222, 3064850, 3016708, 3042183, 3132144, 3090651
Crystallite Alloy, -219148, -170896, -464000, -420426, -425418, 1045462, 1492097, 1660877, 123197, -211158, -412044, -738475, -336487, 144848, 744528, 732782, 201747, 200697, 280185, 484010, 747645, 421021, 268888, 701694, 1409809, 1566978, 2586747, 2808740, 3086220, 2936840, 3108916, 3134212, 3058659, 3046119, 2603884, 2288307, 2356064, 1737976, 1442713, 1461297, 1328366, 882885, 360251, 457621, 353529, -151020, -68941, -1346102, -1646513, -1661731, -1562100, -1029679, -600157, 226550, 241418, 478649, 845905, 1097509, 1886751, 2352328, 2854302, 2627705, 1842351, 1631106, -753604, -1072056, -85699, -33599, -463696, -1809388, -1816518, -1424646, 389470, 623710, 919861, 721761, 2246005, 3049518, 2695710, 3016052, 3136722, 2717935, 849226, 679013, 1164002, 1574150, 1030983, 980370, 1399374, 3138151, 614500, -230269, -629467, -107942, 759499, 1448680, 839214, 1245555, 1166285, 1603676, 2176554, 2217995, 2300324, 2434430, 3468555, 1259051, 1583055, 1239378, 5145969, 4668636, 4225564, 4029737, 4005882, 4122293, 4225694, 5311848, 5078574, 3888280, 3428606, 3558477, 2984004, 3408274, 4313177, 3281972, 2944920, 2619362, 1751326, 1246909, 1139285, 869903, 826819, 540213, 298751, -135683, -639795, 654213, 26793, 378478, 395635, 755570, 322248, 943273
